job_id,company,title,track,cohort,city,education,source_platform,source_url,access_date,languages,test_foundations,automation_tools,engineering_systems,ai_quality,quality_activities,source_note
J001,阿里巴巴,测试开发工程师,standard_test_dev,2027,多地,本科及以上,牛客,https://www.nowcoder.com/jobs/detail/439359,2026-08-02,C/C++|Java|Python,test_theory|test_process,automation_framework,,LLM|Agent|RAG|PromptEngineering|AI_testing,automation_test|performance_test|security_test|stability_test|tool_development|platform_development|code_review|fault_injection,岗位正文含测试工具平台和测试智能体
J002,字节跳动,TikTok测试开发实习生,standard_test_dev,2027,北京,本科及以上,牛客,https://www.nowcoder.com/jobs/detail/438470,2026-08-02,Java|C/C++|Python|Go,test_theory|quality_awareness,automation_framework,data_structures_algorithms|operating_system|networks,AI_testing,functional_test|automation_test|performance_test|security_test|stability_test|data_analysis|tool_development|platform_development|fault_injection,岗位正文列出完整质量保障活动
J003,滴滴,27届秋储测试开发实习生,standard_test_dev,2027,北京,本科及以上,牛客,https://www.nowcoder.com/jobs/detail/443988,2026-08-02,Java|Python|Go,test_theory|test_process,automation_framework,Linux,,api_test|automation_test|root_cause_analysis,搜索结果可见核心任职要求
J004,携程,测试开发工程师实习生,standard_test_dev,2027,上海,本科及以上,牛客,https://www.nowcoder.com/jobs/detail/434860,2026-08-02,Java|Python|Go|Shell,quality_awareness,automation_framework,Linux|SQL|Docker|Kubernetes,,functional_test|automation_test|performance_test|security_test|compatibility_test|stability_test|root_cause_analysis|code_review|monitoring,岗位强调全链路质量和测试左右移
J005,用友,软件测试工程师,software_test,2027,北京,本科及以上,牛客,https://www.nowcoder.com/jobs/detail/456411,2026-08-02,Python|Java,test_theory|test_process|test_case_design,Selenium|JMeter|Postman|automation_framework,Linux|SQL,AI_testing|AI_tools,functional_test|api_test|performance_test|compatibility_test|automation_test|defect_management,包含YonGPT及AI测试提效场景
J006,广发证券,测试开发工程师,standard_test_dev,2027,广州,硕士,牛客,https://www.nowcoder.com/jobs/detail/453708,2026-08-02,Java|C/C++|Go|JavaScript|Ruby|Python,test_process|quality_awareness,automation_framework,Linux|SQL|networks|data_structures_algorithms|operating_system,,test_design|automation_test|defect_management|data_analysis,强调计算机基础和网络知识
J007,众安保险,测试开发实习生,standard_test_dev,2027,上海,本科及以上,牛客,https://www.nowcoder.com/jobs/detail/434211,2026-08-02,Python|Java,test_theory,Selenium|Appium|JUnit,,AI_tools,automation_test|root_cause_analysis|data_analysis,要求使用AI工具进行日志分析和异常检测
J008,NVIDIA,测试开发工程师实习生,standard_test_dev,2027/2028,上海,硕士及以上,牛客,https://www.nowcoder.com/jobs/detail/443432,2026-08-02,Python|Shell,test_theory|quality_awareness,automation_framework,Linux|Docker|Kubernetes|OpenStack|GPU,AI_tools,automation_test|root_cause_analysis|defect_management,面向GPU云产品并强调AI辅助QA
J009,字节跳动,开发者服务测试开发实习生,standard_test_dev,2027,北京,本科及以上,牛客,https://www.nowcoder.com/jobs/detail/448532,2026-08-02,Python|Go|Java,quality_awareness,automation_framework,data_structures_algorithms,Agent|ML_DL|AI_testing,automation_test|tool_development|platform_development|data_analysis,岗位面向内部AI Agent平台
J010,字节跳动,字节云测试开发实习生,standard_test_dev,2027,北京,本科及以上,爱测社区,https://ceshiren.com/t/topic/35368,2026-08-02,Python|Go|Java,test_theory,Postman|Selenium|Appium,Linux|networks|data_structures_algorithms|operating_system,,functional_test|automation_test|performance_test|stability_test|monitoring|tool_development,社区转载岗位需以企业投递页为准
J011,阿里巴巴,AI软件测试开发工程师,ai_software_quality,2027,上海/杭州,本科及以上,牛客,https://www.nowcoder.com/jobs/detail/439391,2026-08-02,Python|C/C++,test_case_design|quality_awareness,pytest|GoogleTest|automation_framework,CI_CD|GPU|distributed_systems|Docker|Kubernetes,LLM|ML_DL|AI_testing,automation_test|performance_test|compatibility_test|stability_test|root_cause_analysis|data_analysis|tool_development|platform_development,面向GPU驱动编译器框架和大模型工具链
J012,阿里巴巴,AI Infra测试开发工程师存储方向,ai_software_quality,2027,多地,本科及以上,牛客,https://www.nowcoder.com/jobs/detail/446438,2026-08-02,Python|Go|C/C++,test_case_design|quality_awareness,pytest|GoogleTest|automation_framework,CI_CD|Linux|GPU|distributed_systems,AI_testing,automation_test|performance_test|stability_test|root_cause_analysis|data_analysis|tool_development|fault_injection,包含网络分区磁盘满等故障注入场景
J013,阿里巴巴,大模型评测工程师,model_evaluation,2027,杭州,本科及以上,牛客,https://www.nowcoder.com/jobs/detail/439353,2026-08-02,,quality_awareness,,,LLM|Agent|model_evaluation|dataset_construction|benchmark,model_evaluation|data_analysis,侧重指令遵循推理和智能体评测
J014,上海人工智能实验室,大模型评测算法实习生,model_evaluation,2027,上海,未明确,企业官网,https://www.shlab.org.cn/joinus/detail/7631192202148088118,2026-08-02,,,,,LLM|Agent|model_evaluation|benchmark,model_evaluation|platform_development,公开页面明确评测体系与评测平台
